代數,10000
粒子數,10
旋轉角度上界,0.000400000000000
旋轉角度下界,0.000400000000000
旋轉角度,0.000400000000000
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10581858.609999999403954
真實報酬,581858.609999999403954

預期報酬,26967.620630662015174
風險,33574.286232114682207
起點值,0.803222455548937
找到最佳解世代,3270

投資組合,5
CAT,DD,GS,MCD,VZ
Stock#,CAT,DD,GS,MCD,VZ
張數,16576,26281,10917,10061,35473
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000
剩餘資金,105.599999999860302,15.900000000139698,114.770000000018626,74.419999999925494,32.260000000009313
FS(1),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS(2),2023703.679999999934807,1947700.810000000055879,2073034.729999999981374,2008551.849999999860302,1994324.320000000065193,10047315.390000000596046
FS(3),2040942.719999999972060,1967411.560000000055879,2057314.250000000000000,2013582.349999999860302,2023057.449999999953434,10102308.330000000074506
FS(4),2045418.239999999757856,1909593.360000000102445,2072270.540000000037253,2042960.469999999972060,2041148.679999999934807,10111391.289999999105930
FS(5),2063154.559999999823049,1935348.740000000223517,2072270.540000000037253,2067408.699999999720603,2030506.780000000027940,10168689.319999998435378
FS(6),2084371.839999999850988,1938239.650000000139698,2119322.810000000055879,2025353.719999999972060,1991841.209999999962747,10159129.230000000447035
FS(7),2109898.879999999888241,1937714.030000000260770,2125982.179999999701977,2045073.279999999795109,2015962.849999999860302,10234631.219999998807907
FS(8),2106915.200000000186265,1930618.159999999916181,2076746.510000000009313,2061875.149999999906868,2034763.540000000037253,10210918.559999998658895
FS(9),2108075.519999999552965,1966623.130000000121072,2090174.419999999925494,2057448.310000000055879,2043986.520000000018626,10266307.899999998509884
FS(10),2109070.080000000074506,1973193.380000000121072,2092466.989999999990687,2065497.109999999869615,2067398.699999999953434,10307626.259999999776483
FS(11),2110561.919999999925494,1964520.650000000139698,2083405.880000000121072,2050606.829999999841675,2044341.250000000000000,10253436.530000001192093
FS(12),2160455.679999999701977,1951380.150000000139698,2128711.429999999701977,2057649.529999999795109,2033699.349999999860302,10331896.139999998733401
FS(13),2165096.959999999962747,1917740.470000000204891,2135916.649999999906868,2058051.969999999972060,2044341.250000000000000,10321147.300000000745058
FS(14),2215156.479999999515712,1970565.280000000260770,2136571.669999999925494,2063786.739999999990687,2034054.080000000074506,10420134.250000000000000
FS(15),2219466.239999999292195,1961629.740000000223517,2139191.750000000000000,2055134.279999999795109,2049307.470000000204891,10424729.480000000447035
FS(16),2227422.719999999739230,1963206.600000000325963,2156113.100000000093132,2051713.539999999804422,2067043.970000000204891,10465499.929999999701977
FS(17),2216482.559999999590218,1948226.429999999934807,2140501.790000000037253,2069722.729999999981374,2057466.260000000009313,10432399.769999999552965
FS(18),2240352.000000000000000,1940604.940000000176951,2150872.939999999944121,2058051.969999999972060,2021638.530000000027940,10411520.380000000819564
FS(19),2246153.599999999627471,1940342.130000000121072,2176091.209999999962747,2075356.890000000130385,2030861.510000000009313,10468805.339999999850988
FS(20),2259248.639999999664724,1972930.570000000065193,2233732.969999999739230,2089341.679999999934807,2026604.750000000000000,10581858.609999999403954
